TIME,GEO,ANIMALS,MONTH,UNIT,Value,Flag and Footnotes
2010,France,Live bovine animals,December,Thousand head (animals),19599,
2010,France,"Bovine animals, less than 1 year",December,Thousand head (animals),5589,
2010,France,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),658,
2010,France,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),4931,
2010,France,"Bovine animals, 1 year",December,Thousand head (animals),3378,
2010,Croatia,Live bovine animals,December,Thousand head (animals),444.3,
2010,Croatia,"Bovine animals, less than 1 year",December,Thousand head (animals),130.3,
2010,Croatia,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),15.3,
2010,Croatia,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),115,
2010,Croatia,"Bovine animals, 1 year",December,Thousand head (animals),83.8,
2010,Italy,Live bovine animals,December,Thousand head (animals),5832.46,b
2010,Italy,"Bovine animals, less than 1 year",December,Thousand head (animals),1736.15,b
2010,Italy,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),507.45,b
2010,Italy,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),1228.7,b
2010,Italy,"Bovine animals, 1 year",December,Thousand head (animals),1392.02,b
2010,Cyprus,Live bovine animals,December,Thousand head (animals),54.72,
2010,Cyprus,"Bovine animals, less than 1 year",December,Thousand head (animals),20.16,
2010,Cyprus,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),9.44,
2010,Cyprus,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),10.73,
2010,Cyprus,"Bovine animals, 1 year",December,Thousand head (animals),9.72,
2010,Latvia,Live bovine animals,December,Thousand head (animals),379.49,
2010,Latvia,"Bovine animals, less than 1 year",December,Thousand head (animals),105.57,
2010,Latvia,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),51.19,
2010,Latvia,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),54.38,
2010,Latvia,"Bovine animals, 1 year",December,Thousand head (animals),67.61,
2010,Lithuania,Live bovine animals,December,Thousand head (animals),748,
2010,Lithuania,"Bovine animals, less than 1 year",December,Thousand head (animals),180.2,
2010,Lithuania,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),65.2,
2010,Lithuania,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),115,
2010,Lithuania,"Bovine animals, 1 year",December,Thousand head (animals),147.8,
2010,Luxembourg,Live bovine animals,December,Thousand head (animals),194.01,
2010,Luxembourg,"Bovine animals, less than 1 year",December,Thousand head (animals),51.59,
2010,Luxembourg,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),4.34,
2010,Luxembourg,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),47.25,
2010,Luxembourg,"Bovine animals, 1 year",December,Thousand head (animals),44.07,
2010,Hungary,Live bovine animals,December,Thousand head (animals),682,
2010,Hungary,"Bovine animals, less than 1 year",December,Thousand head (animals),170,
2010,Hungary,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),52,
2010,Hungary,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),118,
2010,Hungary,"Bovine animals, 1 year",December,Thousand head (animals),154,
2010,Malta,Live bovine animals,December,Thousand head (animals),14.95,
2010,Malta,"Bovine animals, less than 1 year",December,Thousand head (animals),4.37,
2010,Malta,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),0,
2010,Malta,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),4.37,
2010,Malta,"Bovine animals, 1 year",December,Thousand head (animals),3.33,
2010,Netherlands,Live bovine animals,December,Thousand head (animals),3960,
2010,Netherlands,"Bovine animals, less than 1 year",December,Thousand head (animals),1577,
2010,Netherlands,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),1008,
2010,Netherlands,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),569,
2010,Netherlands,"Bovine animals, 1 year",December,Thousand head (animals),616,
2010,Austria,Live bovine animals,December,Thousand head (animals),2013.28,
2010,Austria,"Bovine animals, less than 1 year",December,Thousand head (animals),634.05,
2010,Austria,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),170.27,
2010,Austria,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),463.78,
2010,Austria,"Bovine animals, 1 year",December,Thousand head (animals),443.65,
2010,Poland,Live bovine animals,December,Thousand head (animals),5561.75,
2010,Poland,"Bovine animals, less than 1 year",December,Thousand head (animals),1386.58,
2010,Poland,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),90.73,
2010,Poland,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),1295.86,
2010,Poland,"Bovine animals, 1 year",December,Thousand head (animals),1226.82,
2010,Portugal,Live bovine animals,December,Thousand head (animals),1502.76,
2010,Portugal,"Bovine animals, less than 1 year",December,Thousand head (animals),437.11,
2010,Portugal,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),122.39,
