TIME,GEO,NUTRIENT,UNIT,Value,Flag and Footnotes
2011,European Union - 28 countries,Phosphorus,Tonne,1273347,e
2011,Belgium,Nitrogen,Tonne,143774,
2011,Belgium,Phosphorus,Tonne,4493,e
2011,Bulgaria,Nitrogen,Tonne,192357,
2011,Bulgaria,Phosphorus,Tonne,12902,
2011,Czechia,Nitrogen,Tonne,352745,
2011,Czechia,Phosphorus,Tonne,17304,
2011,Denmark,Nitrogen,Tonne,197162,e
2011,Denmark,Phosphorus,Tonne,10000,e
2011,Germany (until 1990 former territory of the FRG),Nitrogen,Tonne,1786485,
2011,Germany (until 1990 former territory of the FRG),Phosphorus,Tonne,125025,
2011,Estonia,Nitrogen,Tonne,29803,
2011,Estonia,Phosphorus,Tonne,2680,
2011,Ireland,Nitrogen,Tonne,295795,
2011,Ireland,Phosphorus,Tonne,28107,
2011,Greece,Nitrogen,Tonne,181394,
2011,Greece,Phosphorus,Tonne,25048,
2011,Spain,Nitrogen,Tonne,846697,
2011,Spain,Phosphorus,Tonne,158350,
2011,France,Nitrogen,Tonne,2332390,
2011,France,Phosphorus,Tonne,218428,
2011,Croatia,Nitrogen,Tonne,125015,
2011,Croatia,Phosphorus,Tonne,14028,
2011,Italy,Nitrogen,Tonne,584973,
2011,Italy,Phosphorus,Tonne,229700,
2011,Cyprus,Nitrogen,Tonne,7138,e
2011,Cyprus,Phosphorus,Tonne,1207,
2011,Latvia,Nitrogen,Tonne,59803,
2011,Latvia,Phosphorus,Tonne,7640,
2011,Lithuania,Nitrogen,Tonne,147000,e
2011,Lithuania,Phosphorus,Tonne,16000,e
2011,Luxembourg,Nitrogen,Tonne,14446,
2011,Luxembourg,Phosphorus,Tonne,516,
2011,Hungary,Nitrogen,Tonne,301825,
2011,Hungary,Phosphorus,Tonne,22113,
2011,Malta,Nitrogen,Tonne,471,
2011,Malta,Phosphorus,Tonne,57,
2011,Netherlands,Nitrogen,Tonne,200420,
2011,Netherlands,Phosphorus,Tonne,6081,
2011,Austria,Nitrogen,Tonne,98161,
2011,Austria,Phosphorus,Tonne,9947,
2011,Poland,Nitrogen,Tonne,1091065,
2011,Poland,Phosphorus,Tonne,178318,
2011,Portugal,Nitrogen,Tonne,97718,
2011,Portugal,Phosphorus,Tonne,12908,
2011,Romania,Nitrogen,Tonne,313333,
2011,Romania,Phosphorus,Tonne,55123,
2011,Slovenia,Nitrogen,Tonne,27134,
2011,Slovenia,Phosphorus,Tonne,3935,
2011,Slovakia,Nitrogen,Tonne,120555,r
2011,Slovakia,Phosphorus,Tonne,8569,r
2011,Finland,Nitrogen,Tonne,146189,
2011,Finland,Phosphorus,Tonne,11046,
